fdate,market_volume,ln_market_volume
2001-08-22,1110800000,20.828346313396917
2001-08-23,986200000,20.7093697317543
2001-08-24,1043600000,20.76594211122685
2001-08-27,842600000,20.55200290750919
2001-08-28,987100000,20.710281909388115
2001-08-29,963700000,20.686290600821515
2001-08-30,1157000000,20.86909628515795
2001-08-31,920100000,20.63999291775259
2001-09-04,1178300000,20.88733855868357
2001-09-05,1384500000,21.04860490057529
2001-09-06,1359700000,21.030529924125915
2001-09-07,1424300000,21.076946301904815
2001-09-10,1276600000,20.96746613078623
2001-09-17,2330830000,21.569490264267575
2001-09-18,1650410000,21.22428957884014
2001-09-19,2120550000,21.474941325945426
2001-09-20,2004800000,21.41881014210608
2001-09-21,2317300000,21.56366855178811
2001-09-24,1746600000,21.28093687794391
2001-09-25,1613800000,21.20185748337868
2001-09-26,1519100000,21.14138389117789
2001-09-27,1467000000,21.106485336107255
2001-09-28,1631500000,21.212765673997648
2001-10-01,1175600000,20.885044492509035
2001-10-02,1289800000,20.977753004540553
2001-10-03,1650600000,21.224404695122857
2001-10-04,1609100000,21.198940853429377
2001-10-05,1301700000,20.98693693943669
2001-10-08,979000000,20.702042200494784
2001-10-09,1227800000,20.92848978695767
2001-10-10,1312400000,20.99512335905122
2001-10-11,1704580000,21.25658458302576
2001-10-12,1331400000,21.009496857130877
2001-10-15,1024700000,20.747665723769945
2001-10-16,1210500000,20.914299334342388
2001-10-17,1452200000,21.09634548491042
2001-10-18,1262900000,20.9566765006164
2001-10-19,1294900000,20.98169930903907
2001-10-22,1105700000,20.82374445551263
2001-10-23,1317300000,20.998850024200056
2001-10-24,1336200000,21.01309560145565
2001-10-25,1364400000,21.033980608508763
2001-10-26,1244500000,20.94199967977192
2001-10-29,1106100000,20.82410615187248
2001-10-30,1297400000,20.983628098743228
2001-10-31,1352500000,21.02522056868491
2001-11-01,1317400000,20.998925934170867
2001-11-02,1121900000,20.838289513515193
2001-11-05,1267700000,20.960470071908954
2001-11-06,1356000000,21.027805026464616
2001-11-07,1411300000,21.067777102384234
2001-11-08,1517500000,21.14033008089793
2001-11-09,1093800000,20.812923708876948
2001-11-12,991600000,20.714830358125308
2001-11-13,1370100000,21.038149566823336
2001-11-14,1443400000,21.090267278602447
2001-11-15,1454500000,21.097928035899532
2001-11-16,1337400000,21.01399326758415
2001-11-19,1316800000,20.998470387887078
2001-11-20,1330200000,21.008595143814595
2001-11-21,1029300000,20.752144796496786
2001-11-23,410300000,19.832399157412414
2001-11-26,1129800000,20.845306462855437
2001-11-27,1288000000,20.976356464628573
2001-11-28,1423700000,21.076524953583974
2001-11-29,1375700000,21.042228529431224
